observed_date,market,property,rate_usd,stay_date,los,source,note,basis,rate_type,channel
2026-07-29,safari,Governors' Camp,1996,2026-08-28,2,Siyabona Africa published 2026 rate sheet (siyabona.com/pricing_governors-main-camp-kenya.html),"USD998 pps Full Board Plus, 01 Jul-31 Oct 2026 season; doubled to per-double-room basis. FB+ inclusive of meals and select activities.",FB+,international,direct
2026-07-29,safari,Angama Mara,5500,2026-08-28,2,angama.com official rates page (Peak Season 1 Jul-30 Sep 2026),"USD2,750 pppn fully inclusive; doubled to per-double basis. Excludes Mara park fees USD200pp Jul-Dec.",FI,international,direct
2026-07-29,safari,Mara Serena Safari Lodge,989,2026-08-28,2,Siyabona Africa published 2026 rate sheet (siyabona.com/pricing_mara-serena-kenya-safari.html),"USD989 per unit Full Board, 16 Jun-30 Sep 2026 season. Already per-room.",FB,international,direct
2026-07-29,safari,Kichwa Tembo,2530,2026-08-28,2,Siyabona Africa published 2026 rate sheet (siyabona.com/pricing_kichwa-tembo-tented-camp.html),"USD1,265 pps Fully Inclusive Plus, 01 Jul-31 Oct 2026; doubled to per-double basis.",FI,international,direct
2026-07-29,safari,Serengeti Serena Safari Lodge,990,2026-08-28,2,Siyabona/safari.co.za published 2026 rate sheet,"USD990 per unit Full Board, 01 Jun-31 Oct 2026 season. Already per-room.",FB,international,direct
2026-07-29,zanzibar,Zuri Zanzibar,1160,2026-08-28,2,zurizanzibar.com official Rack Rates 2026 PDF,"Lead-in Bungalow, 2 pax, per room per night, Half Board incl VAT. High Season 1 Jun-30 Nov 2026. Excludes USD5 pp/night city tax.",HB,international,direct
2026-07-29,coast,Diani Reef Beach Resort,187,2026-08-28,2,"The Holiday Dealers published 2026 resident rate card (KES 12,100 PPS HB)","Premium Garden Room, 6 Apr-19 Dec 2026, KES12,100 PPS Half Board = KES24,200/double; converted at CBK 129.30 KES/USD (2 Jul 2026). RESIDENT rate basis.",HB,resident,direct
2026-07-29,coast,Leopard Beach Resort,282,2026-08-28,2,"The Holiday Dealers published 2026 resident rate card (KES 18,200 PPS HB)","Deluxe Terrace, 1 Jul-31 Aug 2026 season, KES18,200 PPS Half Board = KES36,400/double; converted at CBK 129.30. RESIDENT rate basis.",HB,resident,direct
2026-07-29,coast,Baobab Beach Resort,278,2026-08-28,2,"The Holiday Dealers published 2026 resident rate card (KES 18,000 PPS AI)","Garden View, 1 Jul-31 Aug 2026 season, KES18,000 PPS ALL-INCLUSIVE = KES36,000/double; converted at CBK 129.30. RESIDENT rate, AI basis (richer than HB peers).",AI,resident,direct
2026-07-29,nairobi,Sarova Stanley,206,2026-08-28,2,Siyabona/kenyasafari.com published 2026 rate sheet,"USD206 per unit Bed & Breakfast, 01 Jun-31 Dec 2026 validity window. Already per-room.",BB,international,direct
2026-08-02,coast,Swahili Beach,316,2026-09-01,2,"The Holiday Dealers published 2026 resident rate card (theholidaydealers.com/destinations/kenya/diani/swahili-beach-resort), 2 Aug 2026","Superior Room (lead-in published category), 1-30 Sep 2026 season, KES20,400 PPS Half Board = KES40,800/double; converted at CBK 129.30 KES/USD. RESIDENT rate. Standard Garden rooms exist but not priced on card.",HB,resident,direct
2026-08-02,coast,Voyager Beach Resort,269,2026-09-01,2,"The Holiday Dealers published 2026 resident rate card (theholidaydealers.com/destinations/kenya/mombasa/voyager-beach-resort), 2 Aug 2026","Standard Pool Room (lead-in), 1 Sep-31 Oct 2026 season, KES17,400 PPS ALL-INCLUSIVE = KES34,800/double; converted at CBK 129.30. RESIDENT rate, AI basis (Voyager is an AI property).",AI,resident,direct
2026-08-02,nairobi,Hemingways Nairobi,1054,2026-09-01,2,"Google Hotels via SerpApi, 2026-08-02","Matched 'Hemingways Nairobi' (similarity 1.00); lowest displayed nightly rate, inclusions not stated by Google.",UNK,international,ota
2026-08-02,coast,Serena Beach Resort & Spa,209,2026-09-01,2,"Google Hotels via SerpApi, 2026-08-02","Matched 'Serena Beach Resort & Spa' (similarity 1.00); lowest displayed nightly rate, inclusions not stated by Google.",UNK,international,ota
2026-08-03,zanzibar,The Residence Zanzibar,1150,2026-09-02,2,"safari.com published rate table (Cenizaro 2026 rate sheet), 3 Aug 2026","USD575 pps Half Board, 1 Sep-31 Oct 2026 season band (matches ~30-day-ahead stay ~2 Sep); doubled to per-double basis. Excludes USD5 pp/night Zanzibar infrastructure tax. Lead-in 1-bedroom Luxury Garden Pool Villa.",HB,international,direct
2026-08-04,coast,Almanara Luxury Villas,980.0,2026-09-03,2,"almanara.co.ke booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: basis FB->BB per owner confirmation; value unchanged, restores chain link with WK33.] Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""FB"".",BB,international,direct
2026-08-04,coast,Baobab Beach Resort,315.6,2026-09-03,2,"baobab-beach.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Converted from KES at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,direct
2026-08-04,coast,Baobab Beach Resort,385.0,2026-09-03,2,"Booking.com, checked 4 Aug 2026 by OG (EA Pulse)","OTA comparison. Converted from KES at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,ota
2026-08-04,coast,Coral Cove Resort,243.76,2026-09-03,2,"coralcoveltd.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Converted from KES at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,direct
2026-08-04,coast,Diamonds Leisure Beach & Golf Resort,293.06,2026-09-03,2,"diamondsleisure.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,direct
